Data_Zone, SIMD_tot , Inc_rank , Emp_rank , Hlth_rank , Edu_rank , Hou_rank , Acc_rank , Crime_rank 
S01008714,0.10,0.12,0.06,0.14,0.10,0.39,0.71,0.21
S01008715,0.12,0.12,0.12,0.13,0.12,0.39,0.38,0.30
S01008716,0.12,0.08,0.13,0.18,0.09,0.53,0.20,0.58
S01008717,0.41,0.30,0.43,0.45,0.31,0.69,0.82,0.37
S01008718,0.43,0.43,0.49,0.38,0.32,0.44,0.70,0.30
S01008719,0.34,0.33,0.46,0.35,0.17,0.58,0.31,0.73
S01008720,0.23,0.28,0.24,0.21,0.29,0.36,0.16,0.15
S01008721,0.58,0.76,0.69,0.65,0.54,0.81,0.01,0.75
S01008722,0.47,0.46,0.43,0.33,0.63,0.81,0.16,0.81
S01008723,0.63,0.79,0.61,0.69,0.50,0.71,0.09,0.93
S01008724,0.60,0.56,0.60,0.45,0.64,0.78,0.27,0.79
S01008725,0.48,0.52,0.41,0.40,0.62,0.62,0.32,0.37
S01008726,1.00,0.99,0.96,0.87,0.89,0.97,0.48,0.84
S01008727,0.61,0.57,0.52,0.49,0.72,0.65,0.60,0.79
S01008728,0.21,0.16,0.19,0.28,0.23,0.33,0.86,0.51
S01008729,0.78,0.69,0.85,0.68,0.81,0.65,0.86,0.29
S01008730,0.37,0.27,0.34,0.38,0.42,0.17,0.78,0.68
S01008731,0.26,0.25,0.27,0.26,0.32,0.40,0.45,0.14
S01008732,0.19,0.18,0.14,0.23,0.37,0.11,0.65,0.58
S01008733,0.35,0.43,0.33,0.36,0.33,0.10,0.43,0.27
S01008734,0.48,0.47,0.39,0.44,0.46,0.67,0.88,0.54
S01008735,0.80,0.81,0.66,0.64,0.70,0.88,0.85,0.37
S01008736,0.52,0.48,0.46,0.50,0.56,0.78,0.84,0.39
S01008737,0.83,0.77,0.72,0.63,0.64,0.75,0.63,0.66
S01008738,0.81,0.70,0.83,0.81,0.56,0.90,0.79,0.45
S01008739,0.46,0.42,0.40,0.56,0.46,0.60,0.52,0.48
S01008740,0.65,0.70,0.67,0.77,0.42,0.67,0.35,0.71
S01008741,0.72,0.69,0.66,0.64,0.63,0.69,0.53,0.69
S01008742,0.39,0.34,0.38,0.29,0.50,0.70,0.90,0.10
S01008743,0.18,0.18,0.29,0.26,0.08,0.37,0.72,0.12
S01008744,0.32,0.27,0.34,0.27,0.35,0.47,0.62,0.67
S01008745,0.58,0.59,0.52,0.73,0.47,0.63,0.63,0.44
S01008746,0.13,0.12,0.12,0.15,0.16,0.23,0.54,0.17
S01008747,0.70,0.66,0.62,0.62,0.63,0.84,0.76,0.54
S01008748,0.82,0.65,0.83,0.74,0.57,0.82,0.71,0.75
S01008749,0.56,0.59,0.58,0.62,0.40,0.76,0.43,0.49
S01008750,0.69,0.68,0.56,0.59,0.59,0.83,0.82,0.85
S01008751,0.19,0.15,0.17,0.22,0.37,0.64,0.58,0.18
S01008752,0.03,0.03,0.03,0.04,0.08,0.47,0.47,0.16
S01008753,0.11,0.09,0.09,0.11,0.21,0.33,0.38,0.41
S01008754,0.28,0.31,0.28,0.29,0.18,0.61,0.29,0.42
S01008755,0.16,0.17,0.18,0.17,0.14,0.18,0.37,0.17
S01008756,0.09,0.11,0.08,0.12,0.06,0.23,0.61,0.18
S01008757,0.01,0.01,0.01,0.00,0.04,0.27,0.33,0.03
S01008758,0.06,0.07,0.07,0.04,0.07,0.41,0.65,0.08
S01008759,0.04,0.05,0.04,0.04,0.05,0.27,0.61,0.23
S01008760,0.02,0.03,0.02,0.01,0.09,0.36,0.92,0.13
S01008761,0.38,0.47,0.36,0.26,0.28,0.33,0.62,0.51
S01008762,0.49,0.55,0.56,0.38,0.46,0.45,0.69,0.21
S01008763,0.71,0.61,0.68,0.55,0.62,0.55,0.66,0.97
S01008764,0.46,0.45,0.42,0.43,0.53,0.66,0.76,0.21
S01008765,0.47,0.54,0.35,0.33,0.52,0.51,0.82,0.59
S01008766,0.46,0.41,0.39,0.43,0.48,0.67,0.69,0.60
S01008767,0.36,0.27,0.31,0.45,0.48,0.43,0.20,0.72
S01008768,0.29,0.43,0.26,0.22,0.38,0.19,0.30,0.05
S01008769,0.39,0.28,0.32,0.53,0.56,0.16,0.86,0.34
S01008770,0.42,0.38,0.49,0.82,0.46,0.09,0.03,0.64
S01008771,0.40,0.39,0.39,0.46,0.33,0.54,0.30,0.47
S01008772,0.53,0.49,0.57,0.44,0.60,0.46,0.74,0.44
S01008773,0.25,0.29,0.21,0.20,0.29,0.13,0.68,0.45
S01008774,0.12,0.15,0.10,0.09,0.17,0.15,0.77,0.07
S01008775,0.32,0.31,0.25,0.37,0.60,0.41,0.89,0.07
S01008776,0.08,0.10,0.06,0.06,0.20,0.08,0.89,0.11
S01008777,0.05,0.07,0.03,0.03,0.11,0.16,0.78,0.16
S01008778,0.33,0.35,0.30,0.33,0.33,0.17,0.55,0.62
S01008779,0.63,0.68,0.59,0.81,0.43,0.56,0.52,0.80
S01008780,0.31,0.33,0.31,0.41,0.17,0.25,0.65,0.35
S01008781,0.25,0.29,0.26,0.20,0.31,0.10,0.54,0.19
S01008782,0.24,0.23,0.25,0.24,0.19,0.23,0.86,0.52
S01008783,0.44,0.37,0.37,0.77,0.49,0.19,0.77,0.24
S01008784,0.47,0.55,0.49,0.58,0.24,0.24,0.74,0.61
S01008785,0.06,0.06,0.05,0.06,0.20,0.19,0.77,0.06
S01008786,0.27,0.34,0.26,0.24,0.28,0.07,0.99,0.08
S01008787,0.01,0.01,0.00,0.01,0.01,0.14,0.77,0.05
S01008788,0.39,0.44,0.47,0.41,0.25,0.05,0.97,0.16
S01008789,0.11,0.07,0.13,0.07,0.24,0.16,0.87,0.08
S01008790,0.13,0.15,0.12,0.12,0.30,0.15,0.99,0.01
S01008791,0.32,0.27,0.45,0.54,0.25,0.13,0.73,0.07
S01008792,0.22,0.23,0.20,0.23,0.32,0.19,0.92,0.05
S01008793,0.13,0.17,0.12,0.16,0.16,0.03,0.98,0.02
S01008794,0.20,0.18,0.25,0.11,0.24,0.22,0.81,0.54
S01008795,0.45,0.46,0.41,0.42,0.44,0.07,0.83,0.80
S01008796,0.27,0.32,0.30,0.19,0.22,0.05,0.90,0.22
S01008797,0.37,0.35,0.37,0.31,0.34,0.06,0.91,0.44
S01008798,0.31,0.28,0.26,0.38,0.39,0.10,0.74,0.38
S01008799,0.34,0.39,0.46,0.40,0.20,0.02,0.39,0.34
S01008800,0.44,0.46,0.42,0.57,0.40,0.00,0.36,0.89
S01008801,0.34,0.40,0.37,0.42,0.22,0.06,0.72,0.28
S01008802,0.29,0.29,0.29,0.21,0.32,0.02,0.58,0.70
S01008803,0.21,0.23,0.19,0.15,0.29,0.04,0.77,0.26
S01008804,0.22,0.23,0.23,0.15,0.34,0.01,0.63,0.16
S01008805,0.51,0.55,0.55,0.49,0.43,0.15,0.80,0.35
S01008806,0.48,0.50,0.47,0.59,0.39,0.14,0.65,0.40
S01008807,0.38,0.35,0.33,0.33,0.34,0.10,0.86,0.71
S01008808,0.38,0.32,0.28,0.30,0.58,0.34,0.96,0.46
S01008809,0.54,0.68,0.56,0.89,0.46,0.42,0.56,0.13
S01008810,0.83,0.69,0.89,0.97,0.47,0.50,0.88,0.90
S01008811,0.73,0.78,0.67,0.86,0.72,0.28,0.92,0.32
S01008812,0.68,0.63,0.68,0.79,0.53,0.20,0.94,0.73
S01008813,0.20,0.22,0.17,0.21,0.27,0.16,0.42,0.47
S01008814,0.42,0.38,0.33,0.48,0.48,0.24,0.83,0.26
S01008815,0.28,0.25,0.23,0.34,0.32,0.08,0.78,0.30
S01008816,0.34,0.40,0.30,0.32,0.31,0.14,0.76,0.31
S01008817,0.23,0.25,0.22,0.21,0.21,0.15,0.77,0.19
S01008818,0.58,0.61,0.57,0.60,0.59,0.30,0.53,0.43
S01008819,0.56,0.60,0.53,0.39,0.77,0.59,0.83,0.24
S01008820,0.16,0.17,0.13,0.15,0.26,0.16,0.99,0.13
S01008821,0.66,0.50,0.68,0.72,0.62,0.52,0.94,0.64
S01008822,0.75,0.63,0.59,0.88,0.89,0.77,0.88,0.62
S01008823,0.69,0.61,0.67,0.65,0.78,0.76,0.85,0.25
S01008824,0.82,0.67,0.80,0.69,0.69,0.66,0.78,0.60
S01008825,0.85,0.76,0.87,0.60,0.77,0.73,0.67,0.47
S01008826,0.38,0.42,0.26,0.32,0.61,0.18,0.46,0.31
S01008827,0.87,0.83,0.90,0.79,0.98,0.92,0.35,0.31
S01008828,0.63,0.65,0.58,0.72,0.59,0.49,0.44,0.52
S01008829,0.63,0.56,0.60,0.59,0.64,0.74,0.68,0.43
S01008830,0.66,0.78,0.58,0.63,0.64,0.78,0.58,0.32
S01008831,0.77,0.75,0.65,0.82,0.89,0.93,0.58,0.27
S01008832,0.70,0.84,0.67,0.55,0.84,0.83,0.23,0.41
S01008833,0.85,0.63,0.77,0.51,0.88,0.73,0.96,0.96
S01008834,0.92,0.85,0.73,0.62,0.83,0.77,0.84,0.65
S01008835,0.57,0.52,0.49,0.58,0.59,0.75,0.71,0.54
S01008836,0.22,0.29,0.19,0.16,0.24,0.26,0.17,0.66
S01008837,0.46,0.47,0.40,0.54,0.53,0.08,0.35,0.86
S01008838,0.55,0.64,0.56,0.64,0.38,0.18,0.72,0.59
S01008839,0.59,0.62,0.47,0.61,0.63,0.34,0.60,0.69
S01008840,0.81,0.80,0.79,0.73,0.56,0.42,0.57,0.83
S01008841,0.84,0.96,0.86,0.92,0.53,0.46,0.52,0.57
S01008842,0.65,0.60,0.88,0.82,0.49,0.51,0.17,0.96
S01008843,0.52,0.51,0.46,0.55,0.58,0.24,0.87,0.38
S01008844,0.65,0.59,0.60,0.60,0.61,0.34,0.66,0.87
S01008845,0.76,0.78,0.93,0.90,0.71,0.51,0.94,0.12
S01008846,0.54,0.51,0.48,0.51,0.63,0.52,0.75,0.56
S01008847,0.90,0.83,0.88,0.99,0.63,0.52,0.70,0.60
S01008848,0.54,0.61,0.47,0.71,0.49,0.58,0.47,0.42
S01008849,0.74,0.96,0.84,0.94,0.80,0.37,0.53,0.15
S01008850,0.99,0.96,0.87,0.96,0.85,0.62,0.73,0.81
S01008851,0.41,0.31,0.31,0.34,0.75,0.14,0.87,0.75
S01008852,0.91,0.83,0.75,0.86,0.82,0.74,0.48,0.71
S01008853,0.90,0.86,0.81,0.84,0.96,0.32,0.54,0.68
S01008854,0.97,0.98,0.96,1.00,0.67,0.46,0.55,0.92
S01008855,0.97,0.88,0.77,0.85,0.88,0.49,0.80,0.95
S01008856,0.78,0.64,0.72,0.83,0.86,0.21,0.91,0.83
S01008857,0.88,0.75,0.70,0.82,0.80,0.54,0.53,0.93
S01008858,0.82,0.77,0.87,0.97,0.59,0.64,0.28,0.74
S01008859,0.64,0.52,0.76,0.52,0.56,0.32,0.85,0.85
S01008860,0.53,0.48,0.52,0.50,0.52,0.36,0.93,0.52
S01008861,0.99,0.98,0.99,0.98,0.99,0.79,0.57,0.53
S01008862,0.70,0.63,0.62,0.67,0.61,0.27,0.91,0.96
S01008863,0.89,0.72,0.78,0.57,0.87,0.64,0.91,0.74
S01008864,0.87,0.79,0.91,0.88,0.84,0.75,0.14,0.90
S01008865,0.94,0.75,0.85,0.85,0.77,0.64,0.49,0.99
S01008866,1.00,0.91,0.92,0.92,0.94,0.62,0.68,0.93
S01008867,0.98,0.90,0.95,0.99,0.96,0.75,0.42,0.82
S01008868,0.50,0.61,0.54,0.80,0.74,0.30,0.49,0.01
S01008869,0.76,0.67,0.64,0.72,0.93,0.60,0.46,0.84
S01008870,0.80,0.80,0.87,0.85,0.95,0.55,0.15,0.73
S01008871,0.96,0.86,0.92,0.94,0.79,0.53,0.79,0.71
S01008872,0.56,0.57,0.61,0.89,0.37,0.60,0.66,0.40
S01008873,0.95,0.95,0.91,0.93,0.92,0.77,0.57,0.36
S01008874,0.62,0.53,0.68,0.54,0.49,0.71,0.55,0.76
S01008875,0.50,0.52,0.53,0.53,0.31,0.23,0.80,0.84
S01008876,0.65,0.76,0.66,0.55,0.74,0.95,0.51,0.11
S01008877,0.85,0.74,0.82,0.72,0.80,0.90,0.44,0.54
S01008878,0.43,0.37,0.34,0.31,0.54,0.72,0.29,0.92
S01008879,0.49,0.39,0.55,0.52,0.45,0.79,0.30,0.51
S01008880,0.59,0.58,0.48,0.52,0.80,0.92,0.55,0.36
S01008881,0.84,0.76,0.78,0.68,0.81,0.80,0.28,0.86
S01008882,0.97,0.91,0.95,0.94,0.85,0.91,0.58,0.52
S01008883,0.80,0.98,0.94,0.78,0.83,0.95,0.18,0.26
S01008884,0.85,0.93,0.80,0.78,0.94,0.99,0.20,0.48
S01008885,0.94,0.99,0.92,0.87,1.00,0.95,0.40,0.44
S01008886,0.88,0.90,0.93,0.87,0.68,0.70,0.16,0.87
S01008887,0.77,0.71,0.77,0.68,0.82,0.86,0.26,0.69
S01008888,0.76,0.78,0.75,0.77,0.97,0.76,0.07,1.00
S01008889,0.84,0.84,0.95,0.89,0.60,0.60,0.32,0.62
S01008890,0.64,0.80,0.60,0.67,0.70,0.84,0.14,0.33
S01008891,0.80,0.81,0.98,0.83,0.78,0.86,0.18,0.38
S01008892,0.62,0.52,0.60,0.50,0.73,0.73,0.70,0.57
S01008893,0.92,0.83,0.79,0.75,0.93,0.98,0.71,0.41
S01008894,0.97,0.98,0.98,0.91,0.97,0.98,0.34,0.64
S01008895,0.89,0.85,0.84,0.69,0.97,0.86,0.48,0.40
S01008896,0.96,0.95,0.98,1.00,0.99,0.97,0.21,0.88
S01008897,0.94,0.97,0.84,0.74,0.95,0.79,0.30,0.77
S01008898,0.84,0.95,0.77,0.91,0.94,0.85,0.75,0.12
S01008899,0.09,0.07,0.10,0.14,0.11,0.28,0.35,0.14
S01008900,0.21,0.24,0.24,0.24,0.15,0.45,0.42,0.13
S01008901,0.18,0.20,0.17,0.18,0.19,0.48,0.51,0.26
S01008902,0.17,0.17,0.18,0.26,0.17,0.30,0.26,0.16
S01008903,0.20,0.19,0.19,0.20,0.27,0.55,0.67,0.13
S01008904,0.14,0.14,0.16,0.22,0.10,0.20,0.79,0.06
S01008905,0.06,0.08,0.09,0.08,0.02,0.12,0.92,0.03
S01008906,0.07,0.11,0.06,0.13,0.03,0.27,0.64,0.01
S01008907,0.04,0.03,0.05,0.03,0.05,0.11,0.49,0.05
S01008908,0.12,0.10,0.15,0.22,0.07,0.35,0.68,0.04
S01008909,0.28,0.22,0.31,0.36,0.20,0.57,0.61,0.19
S01008910,0.20,0.15,0.30,0.30,0.15,0.62,0.25,0.18
S01008911,0.60,0.82,0.90,0.56,0.45,0.27,0.10,0.50
S01008912,0.65,0.72,0.61,0.62,0.65,0.80,0.27,0.46
S01008913,0.44,0.49,0.59,0.56,0.31,0.51,0.11,0.21
S01008914,0.33,0.32,0.38,0.29,0.35,0.57,0.49,0.20
S01008915,0.56,0.56,0.57,0.57,0.67,0.71,0.50,0.17
S01008916,0.08,0.08,0.07,0.09,0.11,0.44,0.33,0.15
S01008917,0.05,0.04,0.04,0.06,0.10,0.40,0.59,0.05
S01008918,0.04,0.03,0.04,0.03,0.04,0.38,0.38,0.69
S01008919,0.03,0.03,0.03,0.02,0.15,0.31,0.17,0.08
S01008920,0.45,0.50,0.55,0.61,0.40,0.25,0.09,0.39
S01008921,0.04,0.05,0.05,0.02,0.03,0.29,0.55,0.11
S01008922,0.14,0.13,0.13,0.14,0.13,0.35,0.70,0.08
S01008923,0.11,0.12,0.16,0.12,0.03,0.43,0.89,0.23
S01008924,0.07,0.08,0.09,0.07,0.04,0.33,0.47,0.10
S01008925,0.27,0.26,0.35,0.33,0.17,0.41,0.31,0.15
S01008926,0.20,0.16,0.21,0.32,0.18,0.73,0.84,0.11
S01008927,0.40,0.35,0.47,0.46,0.25,0.16,0.60,0.49
S01008928,0.15,0.17,0.21,0.09,0.10,0.36,0.46,0.04
S01008929,0.00,0.00,0.00,0.00,0.00,0.23,0.55,0.02
S01008930,0.02,0.02,0.03,0.03,0.02,0.22,0.76,0.02
S01008931,0.08,0.10,0.08,0.15,0.04,0.13,0.69,0.39
S01008932,0.25,0.19,0.35,0.34,0.28,0.17,0.34,0.18
S01008933,0.05,0.06,0.07,0.05,0.10,0.21,0.28,0.04
S01008934,0.15,0.17,0.16,0.15,0.17,0.52,0.17,0.09
S01008935,0.69,0.87,0.69,0.64,0.62,0.72,0.29,0.32
S01008936,0.95,0.98,0.81,0.86,0.77,1.00,0.82,0.39
S01008937,0.56,0.54,0.57,0.44,0.68,0.54,0.83,0.39
S01008938,0.66,0.65,0.65,0.74,0.68,0.92,0.29,0.36
S01008939,0.63,0.69,0.72,0.62,0.65,0.80,0.15,0.26
S01008940,0.77,0.99,0.98,0.91,0.96,0.99,0.29,0.09
S01008941,0.78,0.71,0.79,0.76,0.71,0.89,0.23,0.74
S01008942,0.72,0.73,0.72,0.81,0.81,0.74,0.21,0.50
S01008943,0.90,0.95,0.99,0.96,0.89,0.98,0.07,0.92
S01008944,0.77,0.73,0.90,0.89,0.92,0.89,0.07,0.89
S01008945,0.68,0.89,0.73,0.91,0.93,0.95,0.01,0.98
S01008946,0.79,0.84,0.73,0.76,0.74,0.81,0.19,0.77
S01008947,0.68,0.70,0.73,0.83,0.79,0.89,0.06,0.87
S01008948,0.68,0.71,0.58,0.72,0.64,0.81,0.37,0.64
S01008949,0.31,0.25,0.27,0.29,0.36,0.59,0.51,0.50
S01008950,0.40,0.42,0.38,0.35,0.37,0.59,0.25,0.45
S01008951,0.12,0.15,0.13,0.13,0.09,0.40,0.07,0.42
S01008952,0.09,0.10,0.11,0.10,0.07,0.37,0.10,0.27
S01008953,0.21,0.20,0.22,0.20,0.19,0.56,0.28,0.42
S01008954,0.20,0.21,0.16,0.19,0.29,0.62,0.26,0.55
S01008955,0.54,0.56,0.54,0.56,0.64,0.64,0.11,0.81
S01008956,0.49,0.54,0.48,0.58,0.52,0.52,0.05,0.88
S01008957,0.31,0.28,0.25,0.39,0.47,0.66,0.08,0.49
S01008958,0.24,0.22,0.22,0.23,0.43,0.54,0.09,0.76
S01008959,0.43,0.42,0.32,0.47,0.44,0.57,0.26,0.84
S01008960,0.91,0.87,1.00,0.98,0.76,0.66,0.20,0.83
S01008961,0.60,0.75,0.63,0.82,0.57,0.53,0.06,0.71
S01008962,0.80,0.82,0.66,0.63,0.80,0.86,0.21,0.95
S01008963,0.75,0.82,0.69,0.61,0.74,0.91,0.19,0.85
S01008964,0.94,0.94,0.93,0.90,0.87,0.99,0.64,0.25
S01008965,0.76,0.83,0.63,0.70,0.78,0.89,0.43,0.51
S01008966,0.66,0.71,0.59,0.71,0.62,0.96,0.17,0.70
S01008967,0.81,0.76,0.71,0.74,0.82,0.97,0.57,0.38
S01008968,0.67,0.86,0.81,0.68,0.67,0.92,0.03,0.82
S01008969,0.53,0.61,0.48,0.48,0.69,0.74,0.05,0.91
S01008970,0.93,0.82,0.85,0.88,0.95,0.86,0.49,0.48
S01008971,0.80,0.86,0.79,0.98,0.90,0.99,0.12,0.57
S01008972,0.93,0.97,0.97,0.79,0.99,0.97,0.27,0.46
S01008973,0.57,0.65,0.51,0.65,0.61,0.62,0.22,0.46
S01008974,0.68,0.66,0.62,0.59,0.51,0.64,0.93,0.78
S01008975,0.30,0.24,0.27,0.21,0.40,0.56,0.83,0.49
S01008976,0.98,0.98,0.87,0.93,0.86,0.77,0.63,0.59
S01008977,0.75,0.80,0.72,0.81,0.54,0.74,0.39,0.71
S01008978,0.55,0.59,0.67,0.72,0.45,0.44,0.06,0.94
S01008979,0.42,0.31,0.56,0.61,0.35,0.66,0.08,0.67
S01008980,0.39,0.26,0.52,0.34,0.40,0.49,0.44,0.53
S01008981,0.85,0.83,0.69,0.60,0.70,0.85,0.44,0.90
S01008982,0.39,0.23,0.43,0.46,0.39,0.47,0.62,0.53
S01008983,0.29,0.32,0.29,0.40,0.27,0.41,0.08,0.36
S01008984,0.41,0.31,0.49,0.36,0.33,0.60,0.23,0.99
S01008985,0.49,0.49,0.49,0.61,0.55,0.55,0.33,0.19
S01008986,0.64,0.66,0.54,0.66,0.53,0.69,0.41,0.89
S01008987,0.78,0.84,0.65,0.65,0.59,0.68,0.51,0.80
S01008988,0.43,0.42,0.51,0.29,0.43,0.53,0.33,0.45
S01008989,0.55,0.69,0.70,0.52,0.53,0.32,0.03,0.93
S01008990,0.54,0.77,0.68,0.78,0.51,0.27,0.02,0.60
S01008991,0.57,0.51,0.88,0.74,0.55,0.70,0.03,0.94
S01008992,0.30,0.30,0.32,0.42,0.41,0.65,0.18,0.02
S01008993,0.45,0.62,0.51,0.51,0.55,0.71,0.04,0.07
S01008994,0.30,0.34,0.32,0.31,0.15,0.48,0.38,0.59
S01008995,0.73,0.73,0.83,0.74,0.74,0.81,0.12,0.72
S01008996,0.32,0.39,0.40,0.30,0.34,0.69,0.01,0.37
S01008997,0.34,0.40,0.43,0.35,0.38,0.82,0.00,0.33
S01008998,0.11,0.10,0.15,0.13,0.13,0.22,0.01,0.32
S01008999,0.32,0.28,0.37,0.27,0.39,0.65,0.12,0.61
S01009000,0.62,0.77,0.83,0.68,0.60,0.83,0.02,0.67
S01009001,0.59,0.68,0.58,0.49,0.69,0.95,0.04,1.00
S01009002,0.52,0.55,0.76,0.63,0.57,0.79,0.02,0.40
S01009003,0.74,0.55,0.81,0.65,0.73,0.87,0.45,0.86
S01009004,0.51,0.48,0.55,0.47,0.42,0.78,0.25,0.94
S01009005,0.61,0.54,0.59,0.54,0.66,0.68,0.39,0.77
S01009006,0.45,0.36,0.36,0.39,0.48,0.65,0.61,0.94
S01009007,0.40,0.41,0.35,0.28,0.35,0.60,0.57,0.65
S01009008,0.58,0.62,0.48,0.48,0.65,0.85,0.90,0.28
S01009009,0.15,0.11,0.10,0.12,0.33,0.46,0.60,0.78
S01009010,0.67,0.60,0.62,0.63,0.67,0.78,0.44,0.83
S01009011,0.74,0.92,0.71,0.76,0.71,0.90,0.08,0.89
S01009012,0.77,0.79,0.86,0.64,0.72,0.84,0.11,0.91
S01009013,0.83,0.91,0.77,0.78,0.66,0.82,0.13,0.96
